ETF,In_Risk,In_Cost,Out_Return,Out_Liquidity,Out_Diversity,Out_Sentiment
MCHI,0.687981734203192,0.7999999999999999,0.4029656981634475,0.5227007462470608,,0.4164060185032762
DIVO,0.14596790532444692,0.7625000000000001,0.6588664358290288,0.31404634442953044,,0.7426497217923819
TCAF,0.25887174837809224,0.45000000000000007,0.3561780588997198,0.3374856038791471,,0.7453165640536007
BBAX,0.3890536747267047,0.30000000000000004,0.5885556629185653,0.2844279509644308,,0.4198136502815002
XMMO,0.5107824688362785,0.5,0.5343608123867959,0.28121228884089955,,0.34973496197280496
VFLO,0.31838559268801714,0.55,0.49368898584528376,0.3286996833371879,,0.7482797221216217
BBIN,0.24143325796866127,0.15000000000000002,0.6611160062336483,0.27421429831146776,,0.22143021762749818
INDA,0.3684207667008937,0.8250000000000001,0.20043707782255776,0.568132118934787,,0.6478286636157117
ESGE,0.35222068293681863,0.375,0.562758111999257,0.3415129705399964,,0.5173015507193892
KWEB,0.961938622754491,0.9374999999999999,0.55,0.6911617993109266,,0.41655417640667725
DXJ,0.4679390642677778,0.6625,0.6416928960662996,0.3280334822895027,,0.1
JAVA,0.24854255683394308,0.6125,0.40159772714371966,0.27504098718234943,,0.466187074046028
VSGX,0.25337010159888806,0.18750000000000003,0.6116291146980963,0.26218906742950265,,0.23920916603562384
VOOV,0.2662389294900377,0.15000000000000002,0.4460878438698158,0.24995547308815014,,0.46559444243242376
XAR,0.46404260512445883,0.5,0.5699584788969333,0.25500678907354646,,0.7346491950087253
FXI,0.7552210852367542,0.975,0.46864409764328874,0.6870652655762455,,0.2998057485266521
ARKK,1.0,1.0,0.41666288244309474,0.6864967233789856,,0.20157705857175787
SSO,0.8582115071941976,1.0,0.6009125096110678,0.5813438346313682,,0.10023705264544167
VCR,0.572457690428021,0.175,0.384940166265023,0.2391869647504954,,0.4100352286570311
DLN,0.17173663224121732,0.4125,0.47470743006496824,0.25498062940918764,,1.0
DIHP,0.19843840544717017,0.4,0.474222219498728,0.29884751687041516,,1.0
VOX,0.41269500926596964,0.175,0.5414188322746109,0.25745725759445615,,0.5844170809600635
DFLV,0.2746621070858526,0.325,0.44312566761444266,0.3078149721373208,,0.466187074046028
GSIE,0.21351563940999885,0.375,0.5526950724248789,0.28675455480472384,,0.3494386461660029
DFIS,0.23322098829263618,0.55,0.5314446144478217,0.2872796503955591,,0.466187074046028
EFAV,0.10857368606226789,0.3125,0.5478723998513833,0.2910018525959193,,0.2780265367266982
SCHC,0.2911836177874666,0.1625,0.6507462123362249,0.28578445495700955,,0.14957363447799035
SPXL,1.0,1.0,0.6318181818181818,0.5651902244734156,,0.1
CGXU,0.42064390954932246,0.7375,0.6947550661293069,0.3096765545551858,,0.466187074046028
KBWB,0.6058980057106257,0.5,0.6672132999117588,0.38474305755087895,,0.7425015638889808
XMHQ,0.49262531207291943,0.375,0.33740950115332813,0.26322214155456414,,0.3503275935864092
RECS,0.31597182030554466,0.25,0.43398666448213763,0.27711861836943585,,0.6875349817271924
JHMM,0.398234936263781,0.5750000000000001,0.37946311543085964,0.2486520044177696,,0.34558654067757566
SCHK,0.3266703117534032,0.1,0.4658218882071553,0.315595527444572,,0.6044183979192048
EWC,0.24125835008372776,0.6875,0.47529765928571066,0.4168837834588205,,0.3011391696572615
GNR,0.46137940587416,0.5625000000000001,0.450991442924448,0.2575349219869604,,0.19861390050373692
DSI,0.3637362145101018,0.375,0.4428159525664777,0.22936596836583042,,0.5805649754716363
XME,0.7676107069150566,0.5,0.5232138572246849,0.4311470352368059,,0.8801402561485534
ILF,0.6085925620260813,0.6499999999999999,0.6834547338056732,0.38624129316968725,,0.9367365752477534
LVHI,0.13098663514591,0.5625000000000001,0.6757916810725177,0.26537966085209364,,0.3716623316761599
NLR,0.848134261431055,0.7625000000000001,0.7954545454545454,0.24609418382336826,,0.7291673525828866
CGDG,0.12826005459369888,0.6499999999999999,0.5250320906459154,0.2679749038071361,,0.758798933263096
BKLC,0.3228572762914627,,0.4752670651282079,0.22796761816158773,,0.5458960260757914
FDN,0.5407570455136295,0.6749999999999999,0.36634216949537385,0.27856251869024634,,0.4906331281072007
REET,0.35319964152461514,0.23750000000000002,0.5457623898919948,0.3257124528261662,,0.1583149507786521
DISV,0.24491646557721328,0.5875000000000001,0.6213952690324944,0.25298518121538355,,1.0
FEZ,0.3163011988392848,0.42500000000000004,0.5694389007002534,0.37601138597087236,,0.33491917163270024
UPRO,1.0,1.0,0.6563636363636364,0.5398052237767793,,0.1
OMFL,0.25768087430523384,0.42500000000000004,0.3251742763962495,0.26818797482129453,,0.42929575609916726
